phrase,chi2,party
first african american,10.502627981120515,D
immigr reform would,10.502627981120515,D
afford care act,10.65318559429658,D
child tax credit,10.76475243368354,R
address broken immigr,10.929133858267715,D
domest violenc sexual,10.929133858267715,D
famili torn apart,10.929133858267715,D
make sens pursu,10.929133858267715,D
protect victim domest,10.929133858267715,D
roll back protect,10.929133858267715,D
sens pursu remov,10.929133858267715,D
cost health care,11.040708077916774,R
pass immigr reform,11.244972717844806,D
assembl petit govern,11.55279685369431,R
flow illeg immigr,11.55279685369431,R
rector heritag foundat,11.55279685369431,R
robert rector heritag,11.55279685369431,R
unit state come,11.55279685369431,R
your go get,11.55279685369431,R
peopl around world,11.595997186230685,R
bipartisan comprehens immigr,11.612204724409448,D
congression hispan caucus,11.612204724409448,D
domest violenc victim,11.612204724409448,D
asian american pacif,11.690871133903649,D
unit state presid,11.788295060019514,R
high school dropout,11.824640255702906,R
million american work,11.824640255702906,R
million legal immigr,11.824640255702906,R
refus enforc law,11.824640255702906,R
immigr nation act,12.210805781842112,R
arizona unit state,12.524794615558406,D
depart homeland secur,12.532693816147036,R
respect rule law,12.557824094034356,R
crimin background check,12.978346456692911,D
state new york,12.978346456692911,D
rio grand valley,12.985356770065128,R
sign execut order,12.985356770065128,R
unit state armi,13.003449136581269,R
constitut law professor,13.17579250720461,R
mr privileg recogn,13.17579250720461,R
percent illeg immigr,13.17579250720461,R
support comprehens immigr,13.200352713925888,D
new york time,13.271830713025205,R
state hous repres,13.52162134564163,R
asian pacif island,13.661417322834644,D
mr rise today,14.101628979554786,D
enter unit state,14.110561603070511,R
border unit state,14.237743433810962,R
bipartisan senat bill,14.344488188976374,D
pacif american caucus,14.344488188976374,D
interest unit state,14.422750075493497,R
american peopl would,14.604485295786152,R
provid common defens,14.604485295786152,R
congress chang law,14.639769452449569,R
law execut branch,14.639769452449569,R
privileg recogn address,14.639769452449569,R
refus enforc immigr,14.639769452449569,R
friend across aisl,14.815518703623864,R
elimin divers visa,15.027559055118111,D
english languag learner,15.027559055118111,D
million undocu immigr,15.083942468363198,D
pacif american heritag,15.230366016927995,D
congression asian pacif,15.710629921259843,D
women reauthor act,15.710629921259843,D
come across southern,15.863941043752817,R
congress pass law,15.863941043752817,R
million peopl come,16.007476243804838,R
wast fraud abus,16.007476243804838,R
everi donor civil,16.103746397694522,R
immigr law would,16.103746397694522,R
second amend right,16.103746397694522,R
wall street journal,16.10670199006104,R
execut action taken,16.39370078740157,D
keep famili togeth,17.264219179014724,D
unit state hous,17.26486872858472,R
unit state could,17.308170142276882,R
peopl side aisl,17.417243413737545,R
econom system unit,17.56772334293948,R
petit govern redress,17.56772334293948,R
presid execut amnesti,17.56772334293948,R
right freedom speech,17.56772334293948,R
law enforc offic,17.62307186108498,R
law unit state,17.68244259002927,R
greatest nation world,17.73696038355436,R
world trade center,17.73696038355436,R
violenc sexual assault,17.759842519685037,D
peopl come unit,18.0356674212305,R
citizenship immigr servic,18.1577926593724,R
violenc women reauthor,18.442913385826767,D
unlaw present unit,18.701751975595087,R
hire illeg immigr,18.75486772164106,R
peopl want come,18.75486772164106,R
privat health insur,18.75486772164106,R
nation health care,18.832716875808387,R
defend constitut unit,19.031700288184435,R
legal immigr come,19.031700288184435,R
oath uphold constitut,19.031700288184435,R
use taxpay dollar,19.031700288184435,R
want come countri,19.031700288184435,R
nativ american women,19.125984251968504,D
came unit state,19.373759879687103,R
reauthor violenc women,19.98023971098798,D
across state line,20.203598167579454,R
intern revenu servic,20.203598167579454,R
unit state say,20.203598167579454,R
illeg immigr come,20.25304068619665,R
unit state law,20.25304068619665,R
amnesti million peopl,20.495677233429397,R
free enterpris system,20.495677233429397,R
holi land foundat,20.51036590840253,R
health human servic,20.85826660962382,R
behind close door,21.654022668996348,R
back balanc time,21.93168356331678,R
yield back balanc,21.93168356331678,R
address floor unit,21.95965417867435,R
illeg immigr get,21.95965417867435,R
privileg address floor,21.95965417867435,R
unit state go,21.95965417867435,R
illeg unit state,23.105873743447773,R
