phrase,chi2,party
someon els,1.7781712149748636,R
cost us,1.8359866062311383,R
harm way,1.8359866062311383,R
lost job,1.8359866062311383,R
yield gentleman,1.8359866062311383,R
nation histori,1.8507528403884121,R
protect peopl,1.8507528403884121,R
mr today,1.8585059792597967,D
return home,1.8585059792597967,D
us get,1.8962186920161908,R
bill pass,1.9731599877464903,D
across america,1.9953277550479775,R
nation secur,2.003790221017042,D
peopl support,2.004810884512134,D
provid famili,2.004810884512134,D
time us,2.004810884512134,D
immigr popul,2.0124404997757015,D
republican vote,2.0124404997757015,D
famili children,2.014518425650684,D
global economi,2.014518425650684,D
help keep,2.014518425650684,D
latin america,2.014518425650684,D
need work,2.014518425650684,D
program make,2.014518425650684,D
arm servic,2.0209129375501598,D
21st centuri,2.032026774626937,D
close rule,2.032026774626937,D
new american,2.032026774626937,D
state year,2.032026774626937,D
unanim consent,2.032026774626937,D
humanitarian crisi,2.0602068985568085,D
oppos bill,2.0602068985568085,D
tax revenu,2.0602068985568085,D
work countri,2.0602068985568085,D
new job,2.086883814302571,R
play rule,2.094771024659381,D
year sinc,2.094771024659381,D
medal honor,2.140323588299393,R
way go,2.152784470342631,R
fiscal year,2.199990335626392,D
hous pass,2.2195321541219455,R
talk peopl,2.2195321541219455,R
allow us,2.252994837826968,D
good job,2.2856413004739893,R
mr want,2.2856413004739893,R
next week,2.323132474074746,D
us today,2.323132474074746,D
arizona law,2.3550603882547825,R
foreign nation,2.3550603882547825,R
student loan,2.3550603882547825,R
know come,2.3609339898795074,R
law make,2.3609339898795074,R
let alon,2.3609339898795074,R
mani million,2.3609339898795074,R
hous bill,2.3730117255064407,D
serv countri,2.3755115798252904,D
could help,2.387686679654957,R
increas tax,2.387686679654957,R
put us,2.387686679654957,R
state one,2.387686679654957,R
think good,2.387686679654957,R
tri protect,2.387686679654957,R
today strong,2.4060450656924357,D
resourc need,2.4174221107808203,D
good friend,2.4192459552066086,D
central american,2.422573493937865,R
coupl week,2.422573493937865,R
go start,2.422573493937865,R
immigr make,2.422573493937865,R
want keep,2.422573493937865,R
mani mani,2.423647332267905,R
need get,2.423647332267905,R
mr let,2.4251803473478573,D
racial profil,2.4251803473478573,D
member hous,2.4337159584158603,D
elect congress,2.450741207781303,D
issu face,2.450741207781303,D
program help,2.450741207781303,D
support import,2.450741207781303,D
vote rule,2.450741207781303,D
citizen countri,2.4636422428464453,R
decis made,2.4636422428464453,R
job would,2.4636422428464453,R
safeti secur,2.4636422428464453,R
vote vote,2.4636422428464453,R
bipartisan way,2.478686395634816,D
preexist condit,2.478686395634816,D
offer amend,2.492683090979228,R
foreign worker,2.5095191631305465,R
us go,2.5095191631305465,R
will work,2.5095191631305465,R
bipartisan effort,2.516973382649935,D
state bill,2.516973382649935,D
support bipartisan,2.516973382649935,D
us economi,2.516973382649935,D
make mistak,2.559209460712472,R
nation found,2.61197506256684,R
madam yield,2.6672568224622957,R
senat immigr,2.6672568224622957,R
want give,2.6672568224622957,R
want work,2.6672568224622957,R
mr chairman,2.69809179222993,D
countri would,2.724623399020367,R
say want,2.7722785465799253,R
floor hous,2.7745609158365294,D
law school,2.783736713863332,R
statu liberti,2.783736713863332,R
take us,2.783736713863332,R
work bipartisan,2.8077100866017295,D
secur appropri,2.80886540892424,D
would creat,2.80886540892424,D
nation immigr,2.8163921676500534,D
brother sister,2.8204420524815825,D
